"country"	"wealth"	"math_score"	"population"	"weight"	"country_mean"	"average_wealth"
"Albania"	-3	390.701973795181	2801681	0.00123833487663103	394.878912080961	-1.2073777173913
"Albania"	1	406.482541102362	2801681	0.00123833487663103	394.878912080961	-1.2073777173913
"Albania"	0	397.324845138427	2801681	0.00123833487663103	394.878912080961	-1.2073777173913
"Albania"	-1	391.785119676113	2801681	0.00123833487663103	394.878912080961	-1.2073777173913
"Albania"	-2	394.276097788385	2801681	0.00123833487663103	394.878912080961	-1.2073777173913
"Argentina"	-3	343.110428724832	41086927	0.0181603025746662	395.635711161137	-0.848239508700102
"Argentina"	1	442.893110282132	41086927	0.0181603025746662	395.635711161137	-0.848239508700102
"Argentina"	0	417.529955909348	41086927	0.0181603025746662	395.635711161137	-0.848239508700102
"Argentina"	-1	391.187793446703	41086927	0.0181603025746662	395.635711161137	-0.848239508700102
"Argentina"	-2	363.952223042304	41086927	0.0181603025746662	395.635711161137	-0.848239508700102
"Australia"	1	505.22432687869	22723900	0.0100438978966827	493.268938765279	0.496489032620922
"Australia"	0	494.969142099057	22723900	0.0100438978966827	493.268938765279	0.496489032620922
"Australia"	-1	470.020620211889	22723900	0.0100438978966827	493.268938765279	0.496489032620922
"Australia"	-2	424.247460123457	22723900	0.0100438978966827	493.268938765279	0.496489032620922
"Australia"	2	502.282268603859	22723900	0.0100438978966827	493.268938765279	0.496489032620922
"Australia"	3	496.672876057348	22723900	0.0100438978966827	493.268938765279	0.496489032620922
"Austria"	1	519.291943726813	8429991	0.0037260315735395	507.778784601472	0.273149439864722
"Austria"	0	506.663111769103	8429991	0.0037260315735395	507.778784601472	0.273149439864722
"Austria"	-1	490.779218082596	8429991	0.0037260315735395	507.778784601472	0.273149439864722
"Austria"	2	519.857196	8429991	0.0037260315735395	507.778784601472	0.273149439864722
"Austria"	3	513.839494857143	8429991	0.0037260315735395	507.778784601472	0.273149439864722
"Belgium"	1	534.652522541899	11128246	0.00491865245812417	519.668409810399	0.120191697048101
"Belgium"	0	523.059110768535	11128246	0.00491865245812417	519.668409810399	0.120191697048101
"Belgium"	-1	500.044861383051	11128246	0.00491865245812417	519.668409810399	0.120191697048101
"Belgium"	-2	448.892298758621	11128246	0.00491865245812417	519.668409810399	0.120191697048101
"Belgium"	2	519.814709910714	11128246	0.00491865245812417	519.668409810399	0.120191697048101
"Brazil"	-3	343.709182416107	198656019	0.0878053842605126	382.547145860237	-1.14973982020095
"Brazil"	1	452.459728195719	198656019	0.0878053842605126	382.547145860237	-1.14973982020095
"Brazil"	0	418.580382981097	198656019	0.0878053842605126	382.547145860237	-1.14973982020095
"Brazil"	-1	383.52962398723	198656019	0.0878053842605126	382.547145860237	-1.14973982020095
"Brazil"	-2	357.343312279578	198656019	0.0878053842605126	382.547145860237	-1.14973982020095
"Brazil"	2	462.737071728395	198656019	0.0878053842605126	382.547145860237	-1.14973982020095
"Brazil"	-4	325.913399206349	198656019	0.0878053842605126	382.547145860237	-1.14973982020095
"Brazil"	-5	331.975389333333	198656019	0.0878053842605126	382.547145860237	-1.14973982020095
"Bulgaria"	1	470.790383527778	7305888	0.00322918130763643	442.46996601666	-0.444635406698565
"Bulgaria"	0	457.773815992602	7305888	0.00322918130763643	442.46996601666	-0.444635406698565
"Bulgaria"	-1	436.301648337685	7305888	0.00322918130763643	442.46996601666	-0.444635406698565
